--------------------------------------------------------------------------------------------------------------
Script started on Tue, Feb 06, 2018  3:08:55 PM
--------------------------------------------------------------------------------------------------------------$> cygcheck -c && pip3 list format=columns
Cygwin Package Information
Package                                             Version                          Status
gambas3-gb-ncurses                                  3.10.0-1                         OK
gambas3-gb-net                                      3.10.0-1                         OK
gambas3-gb-net-curl                                 3.10.0-1                         OK
gambas3-gb-net-pop3                                 3.10.0-1                         OK
gambas3-gb-net-smtp                                 3.10.0-1                         OK
gambas3-gb-openal                                   3.10.0-1                         OK
gambas3-gb-opengl                                   3.10.0-1                         OK
gambas3-gb-opengl-glsl                              3.10.0-1                         OK
gambas3-gb-opengl-glu                               3.10.0-1                         OK
gambas3-gb-opengl-sge                               3.10.0-1                         OK
gambas3-gb-openssl                                  3.10.0-1                         OK
gambas3-gb-option                                   3.10.0-1                         OK
gambas3-gb-pcre                                     3.10.0-1                         OK
gambas3-gb-pdf                                      3.10.0-1                         OK
gambas3-gb-qt4                                      3.10.0-1                         OK
gambas3-gb-qt4-ext                                  3.10.0-1                         OK
gambas3-gb-qt4-opengl                               3.10.0-1                         OK
gambas3-gb-qt4-webkit                               3.10.0-1                         OK
gambas3-gb-qt5                                      3.10.0-1                         OK
gambas3-gb-qt5-ext                                  3.10.0-1                         OK
gambas3-gb-qt5-opengl                               3.10.0-1                         OK
gambas3-gb-qt5-webkit                               3.10.0-1                         OK
gambas3-gb-report                                   3.10.0-1                         OK
gambas3-gb-report2                                  3.10.0-1                         OK
gambas3-gb-scanner                                  3.10.0-1                         OK
gambas3-gb-sdl                                      3.10.0-1                         OK
gambas3-gb-sdl-sound                                3.10.0-1                         OK
gambas3-gb-sdl2                                     3.10.0-1                         OK
gambas3-gb-sdl2-audio                               3.10.0-1                         OK
gambas3-gb-settings                                 3.10.0-1                         OK
gambas3-gb-signal                                   3.10.0-1                         OK
gambas3-gb-util                                     3.10.0-1                         OK
gambas3-gb-util-web                                 3.10.0-1                         OK
gambas3-gb-vb                                       3.10.0-1                         OK
gambas3-gb-web                                      3.10.0-1                         OK
gambas3-gb-web-form                                 3.10.0-1                         OK
gambas3-gb-xml                                      3.10.0-1                         OK
gambas3-gb-xml-html                                 3.10.0-1                         OK
gambas3-gb-xml-rpc                                  3.10.0-1                         OK
gambas3-gb-xml-xslt                                 3.10.0-1                         OK
gambas3-ide                                         3.10.0-1                         OK
gambas3-runtime                                     3.10.0-1                         OK
gambas3-scripter                                    3.10.0-1                         OK
gamin                                               0.1.10-15                        OK
gawk                                                4.2.0-1                          OK
gcab                                                0.7-1                            OK
gcc-ada                                             6.4.0-5                          OK
gcc-cilkplus                                        6.4.0-5                          OK
gcc-core                                            6.4.0-5                          OK
gcc-fortran                                         6.4.0-5                          OK
gcc-g++                                             6.4.0-5                          OK
gcc-objc                                            6.4.0-5                          OK
gcc-objc++                                          6.4.0-5                          OK
gcc-tools-epoch1-autoconf                           2.59-2                           OK
gcc-tools-epoch1-automake                           1.9.6-2                          OK
gcc-tools-epoch2-autoconf                           2.64-2                           OK
gcc-tools-epoch2-automake                           1.11.6-1                         OK
gccmakedep                                          1.0.3-1                          OK
gconf-desktop-schemas                               2.32.1-3                         OK
GConf2                                              3.2.6-2                          OK
gcovr                                               3.3-1                            OK
gcr                                                 3.20.0-1                         OK
gdb                                                 7.10.1-1                         OK
gdk-pixbuf2.0-svg                                   2.40.18-1                        OK
gendef                                              1.0-svn2931-1                    OK
genisoimage                                         1.1.11-1                         OK
GeoIP-database                                      20171111-1                       OK
geomview                                            1.9.5-2                          OK
geomview-devel                                      1.9.5-2                          OK
getent                                              2.18.90-4                        OK
gettext                                             0.19.8.1-2                       OK
gettext-devel                                       0.19.8.1-2                       OK
ghostscript                                         9.22-2                           OK
ghostscript-fonts-other                             6.0-1                            OK
ghostscript-fonts-std                               20170801-3                       OK
girepository-Anjuta3.0                              3.22.0-2                         OK
girepository-Atk1.0                                 2.24.0-1                         OK
girepository-Atspi2.0                               2.24.1-1                         OK
girepository-cairo1.0                               1.52.1-2                         OK
girepository-gcab1.0                                0.7-1                            OK
girepository-GdkPixbuf2.0                           2.36.9-1                         OK
girepository-Gdl3                                   3.22.0-1                         OK
girepository-Gee0.8                                 0.20.0-1                         OK
girepository-Ggit1.0                                0.25.0-1                         OK
girepository-GIRepository2.0                        1.52.1-2                         OK
girepository-GLib2.0                                1.52.1-2                         OK
girepository-Gst1.0                                 1.12.4-1                         OK
girepository-Gtk3.0                                 3.22.20-1                        OK
girepository-GtkSource3.0                           3.24.3-1                         OK
girepository-Gucharmap2.90                          10.0.0-1                         OK
girepository-HarfBuzz0.0                            1.7.4-1                          OK
girepository-msi0                                   0.97-1                           OK
girepository-Pango1.0                               1.40.12-1                        OK
girepository-Soup2.4                                2.58.2-1                         OK
girepository-Wnck3.0                                3.24.1-1                         OK
